id_municipio,ano,populacao
1100254,2015,22557
1100254,2016,22337
1100254,2017,22124
1100254,2018,19409
1100254,2019,18986
1100262,1992,4830
1100262,1993,5219
1100262,1994,5471
1100262,1995,5715
1100262,1996,6196
1100262,1997,4431
1100262,1998,2963
1100262,1999,3077
1100262,2001,3054
1100262,2002,3127
1100262,2003,3215
1100262,2004,3602
1100262,2005,3501
1100262,2006,3603
1100262,2007,3174
1100262,2008,3260
1100262,2009,3290
1100262,2010,3316
1100262,2011,3345
1100262,2012,3374
1100262,2013,3666
1100262,2014,3709
1100262,2015,3750
1100262,2016,3790
1100262,2017,3829
1100262,2018,3723
1100262,2019,3764
1100288,1991,59751
1100288,1992,46703
1100288,1993,48940
1100288,1994,51198
1100288,1995,53399
1100288,1996,43930
1100288,1997,43848
1100288,1998,43770
1100288,1999,43699
1100288,2001,47693
1100288,2002,48101
1100288,2003,48434
1100288,2004,49902
1100288,2005,49522
1100288,2006,49907
1100288,2007,48894
1100288,2008,50249
1100288,2009,50499
1100288,2010,50648
1100288,2011,50899
1100288,2012,51142
1100288,2013,55357
1100288,2014,55807
1100288,2015,56242
1100288,2016,56664
1100288,2017,57074
1100288,2018,54702
1100288,2019,55058
1100296,1991,12328
1100296,1992,12848
1100296,1993,13465
1100296,1994,13981
1100296,1995,14485
1100296,1996,11234
1100296,1997,10995
1100296,1998,10768
1100296,1999,10563
1100296,2001,11512
1100296,2002,11450
1100296,2003,11380
1100296,2004,11068
1100296,2005,11149
1100296,2006,11067
1100296,2007,9264
1100296,2008,9566
1100296,2009,9348
1100296,2010,8886
1100296,2011,8677
1100296,2012,8476
1100296,2013,8887
1100296,2014,8706
1100296,2015,8532
1100296,2016,8362
1100296,2017,8198
1100296,2018,6781
1100296,2019,6495
1100304,1991,39262
1100304,1992,40249
1100304,1993,41452
1100304,1994,42664
1100304,1995,43844
1100304,1996,44580
1100304,1997,44010
1100304,1998,45300
1100304,1999,46482
1100304,2001,55513
1100304,2002,57074
1100304,2003,58687
1100304,2004,65785
1100304,2005,63947
1100304,2006,65807
1100304,2007,66746
1100304,2008,68405
1100304,2009,69866
1100304,2010,76202
1100304,2011,77937
1100304,2012,79616
1100304,2013,87727
1100304,2014,89797
1100304,2015,91801
1100304,2016,93745
1100304,2017,95630
1100304,2018,97448
1100304,2019,99854
1100320,1991,19458
1100320,1992,15050
1100320,1993,15932
1100320,1994,16826
1100320,1995,17696
1100320,1996,18868
1100320,1997,19445
1100320,1998,22953
1100320,1999,24756
1100320,2001,25065
1100320,2002,25959
1100320,2003,26927
